ProteinA	ProteinB	Detection Method	Interaction Type	Confidence
uniprotkb:O65674	uniprotkb:Q9C9W9	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9M1X5	uniprotkb:Q9C9W9	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q39255	uniprotkb:Q9M310	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9FHW7	uniprotkb:Q9M310	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9SL93	uniprotkb:Q9M310	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:Q9LSX9	uniprotkb:Q9M310	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O49484	uniprotkb:Q9M310	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O65674	uniprotkb:Q9M310	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9M1X5	uniprotkb:Q9M310	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O81057	uniprotkb:Q9M310	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O81055	uniprotkb:Q9M310	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9SY65	uniprotkb:Q9M310	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:Q39255	uniprotkb:Q9FGY4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9FHW7	uniprotkb:Q9FGY4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O49484	uniprotkb:Q9FGY4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O65674	uniprotkb:Q9FGY4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9M1X5	uniprotkb:Q9FGY4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O81057	uniprotkb:Q9FGY4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9SY65	uniprotkb:Q9FGY4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9FHW7	uniprotkb:Q9ZVQ6	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:O49484	uniprotkb:Q9ZVQ6	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O65674	uniprotkb:Q9ZVQ6	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O04197	uniprotkb:P43292	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:O04197	uniprotkb:O49484	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O04197	uniprotkb:O65674	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9SKK0	uniprotkb:O49484	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:Q9SKK0	uniprotkb:O65674	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9C9W9	uniprotkb:P43291	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:Q9C9W9	uniprotkb:P43292	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q9C9W9	uniprotkb:P43289	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9M310	uniprotkb:P43291	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9M310	uniprotkb:P43292	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9M310	uniprotkb:P43289	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9M310	uniprotkb:O49484	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9M310	uniprotkb:O65674	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9M310	uniprotkb:Q9M1X5	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9M310	uniprotkb:O81057	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9M310	uniprotkb:O81055	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P18064	uniprotkb:O04714	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0407""(direct interaction)"	0.72
uniprotkb:O04714	uniprotkb:P18064	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.72
uniprotkb:P18064	uniprotkb:O04714	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.72
uniprotkb:P21807	uniprotkb:Q91ZU6	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.54
uniprotkb:P19527	uniprotkb:Q91ZU6	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9SQI2	uniprotkb:Q96301	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q9SQI2	uniprotkb:Q96301	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q9STX3	uniprotkb:Q9SLH3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.73
uniprotkb:Q9STX3	uniprotkb:Q9LQT8	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.82
uniprotkb:O88339	uniprotkb:P18484	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.78
uniprotkb:P21707	uniprotkb:Q9JIH7	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9JIH7	uniprotkb:P29101	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.65
uniprotkb:Q9JIH7	uniprotkb:P29101	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.65
uniprotkb:Q9JIH7	uniprotkb:P29101	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.65
uniprotkb:Q9JIH7	uniprotkb:P21707	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q925C0	uniprotkb:Q9JIH7	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P29101	uniprotkb:Q9JIH7	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.65
uniprotkb:P29101	uniprotkb:Q9H4A3	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.50
uniprotkb:P29101	uniprotkb:Q9JIH7	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.65
uniprotkb:P29101	uniprotkb:Q9H4A3	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.50
uniprotkb:Q9JIH7	uniprotkb:Q9R0N9	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q62976	uniprotkb:P78559	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q63604	uniprotkb:Q9Z254	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.57
uniprotkb:Q99M75	uniprotkb:P07174	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:P68511	uniprotkb:Q61214	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8L7L8	uniprotkb:Q9FQ08	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q8VWK4	uniprotkb:Q6NKX5	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.68
uniprotkb:Q9FJW5	uniprotkb:Q9M2X3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9FJW5	uniprotkb:Q8VWK4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.63
uniprotkb:Q9M2X3	uniprotkb:Q8VWK4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.63
uniprotkb:Q8VWK4	uniprotkb:Q8VWK4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:Q9FJW5	uniprotkb:Q9FJW5	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9FJW5	uniprotkb:Q8VWK4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.63
uniprotkb:Q6NKX5	uniprotkb:Q8VWK4	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.68
uniprotkb:Q9FQ08	uniprotkb:Q8L7L8	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:P12785	uniprotkb:P12785	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.86
uniprotkb:P12785	uniprotkb:P12785	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.86
uniprotkb:P12785	uniprotkb:P12785	"psi-mi:""MI:0030""(cross-linking study)"	"psi-mi:""MI:0915""(physical association)"	0.86
uniprotkb:P12785	uniprotkb:P12785	"psi-mi:""MI:0030""(cross-linking study)"	"psi-mi:""MI:0915""(physical association)"	0.86
uniprotkb:Q9JHY1	uniprotkb:O35889	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:O35889	uniprotkb:Q63722	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q63374	uniprotkb:O35889	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q07310	uniprotkb:O35889	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q63373	uniprotkb:O35889	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q63373	uniprotkb:Q62915	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P46639	uniprotkb:Q9LZM8	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.80
uniprotkb:Q9LZM8	uniprotkb:Q84JS6	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.71
uniprotkb:Q38874	uniprotkb:Q9LZM8	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.82
uniprotkb:P43255	uniprotkb:P68359	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P45432	uniprotkb:P45432	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8W207	uniprotkb:P45432	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:Q8W207	uniprotkb:P45432	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:Q8W575	uniprotkb:P45432	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:Q8W575	uniprotkb:Q8W207	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:Q8L5U0	uniprotkb:Q8W575	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.75
uniprotkb:Q8W575	uniprotkb:Q8W575	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8W206	uniprotkb:Q8W575	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q8W575	uniprotkb:P43255	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:P45432	uniprotkb:Q8L5U0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.63
uniprotkb:Q8W207	uniprotkb:Q8L5U0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8W575	uniprotkb:Q8L5U0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.75
uniprotkb:Q8L5U0	uniprotkb:Q8L5U0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8L5U0	uniprotkb:Q8LAZ7	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8W206	uniprotkb:Q8L5U0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:Q94JU3	uniprotkb:Q8L5U0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.57
uniprotkb:P43255	uniprotkb:Q8L5U0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.57
uniprotkb:Q8LAZ7	uniprotkb:P45432	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.63
uniprotkb:Q8LAZ7	uniprotkb:Q8L5U0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8LAZ7	uniprotkb:Q8W206	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q94JU3	uniprotkb:P45432	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.68
uniprotkb:Q8W575	uniprotkb:Q94JU3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:Q94JU3	uniprotkb:Q8L5U0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.57
uniprotkb:Q8W206	uniprotkb:Q94JU3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:Q94JU3	uniprotkb:P43255	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:P43255	uniprotkb:P43255	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P43255	uniprotkb:P45432	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.74
uniprotkb:Q8W575	uniprotkb:P43255	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:P43255	uniprotkb:Q8L5U0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.57
uniprotkb:P43255	uniprotkb:Q94JU3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:Q8W207	uniprotkb:Q9ZVH4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P14713	uniprotkb:Q96524	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.57
uniprotkb:Q39255	uniprotkb:Q94BT6	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.75
uniprotkb:Q39255	uniprotkb:Q94BT6	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.75
uniprotkb:Q94BT6	uniprotkb:Q940X7	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:Q94BT6	uniprotkb:Q94AH6	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:Q94BT6	uniprotkb:Q39255	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.75
uniprotkb:Q94BT6	uniprotkb:Q94AH6	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:Q94BT6	uniprotkb:Q39255	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.75
uniprotkb:Q9FN69	uniprotkb:Q9SEI0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.62
uniprotkb:Q9FN69	uniprotkb:O22059	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:O22059	uniprotkb:Q9CAD0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q9SEI0	uniprotkb:Q9CAD0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.71
uniprotkb:O81223	uniprotkb:Q9LDI3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.91
uniprotkb:O81223	uniprotkb:Q9C562	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O81223	uniprotkb:P92937	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:O65554	uniprotkb:O81223	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:O22932	uniprotkb:O81223	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O04719	uniprotkb:Q9LDI3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q9LDI3	uniprotkb:O04719	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:P55926	uniprotkb:Q62083	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P84092	uniprotkb:P63010	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.68
uniprotkb:P19814	uniprotkb:Q9BXS5	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P19814	uniprotkb:P84092	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.68
uniprotkb:Q9XHZ8	uniprotkb:Q9XHZ8	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9ZVH4	uniprotkb:Q9XHZ8	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.63
uniprotkb:Q9FNZ5	uniprotkb:Q8L9W4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.57
uniprotkb:Q9LUA3	uniprotkb:Q8L9W4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q9FNZ4	uniprotkb:Q8L9W4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q8L9W4	uniprotkb:Q9FNZ5	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.57
uniprotkb:Q8L9W4	uniprotkb:Q9FNZ5	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.57
uniprotkb:Q8L9W4	uniprotkb:Q9LUA3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q9LUA3	uniprotkb:Q8L9W4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q9FNZ5	uniprotkb:Q8L9W4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.57
uniprotkb:Q9LUA3	uniprotkb:Q8L9W4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q9FNZ4	uniprotkb:Q8L9W4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q8L9W4	uniprotkb:P43273	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.81
uniprotkb:Q8L9W4	uniprotkb:Q39140-2	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:Q39237	uniprotkb:Q8L9W4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8L9W4	uniprotkb:Q39234	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8L9W4	uniprotkb:Q39163	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.63
uniprotkb:Q39140	uniprotkb:Q8L9W4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q93ZE2	uniprotkb:Q8L9W4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q8L9W4	uniprotkb:Q39234	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P43273	uniprotkb:Q8L9W4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.81
uniprotkb:P43273	uniprotkb:Q8L9W4	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.81
uniprotkb:Q39162	uniprotkb:Q8L9W4	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:Q9ZVH4	uniprotkb:Q940X7	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.72
uniprotkb:Q940X7	uniprotkb:Q9C9L0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.63
uniprotkb:Q39255	uniprotkb:Q94AH6	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.81
uniprotkb:Q94AH6	uniprotkb:Q9LQ95	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:O22286	uniprotkb:Q9ZVH4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.68
uniprotkb:Q9C9L0	uniprotkb:O22286	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:Q9XHZ8	uniprotkb:Q9ZVH4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.63
uniprotkb:Q9C9L0	uniprotkb:Q9XHZ8	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9C9L0	uniprotkb:B7U179	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:B7U179	uniprotkb:Q9ZVH4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q94AH6	uniprotkb:Q940X7	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.84
uniprotkb:Q94AH6	uniprotkb:Q940X7	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.84
uniprotkb:Q8LGH4	uniprotkb:Q940X7	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.63
uniprotkb:Q9FHW7	uniprotkb:Q940X7	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:Q9FHW7	uniprotkb:Q94AH6	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.55
uniprotkb:Q8L9W4	uniprotkb:Q9FNZ5	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.57
uniprotkb:Q39255	uniprotkb:Q9SQU1	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q39255	uniprotkb:Q39090	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.81
uniprotkb:Q9FHW7	uniprotkb:Q39090	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:O49484	uniprotkb:Q39090	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
