ProteinA	ProteinB	Detection Method	Interaction Type	Confidence
uniprotkb:Q39255	uniprotkb:Q9SKK0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.85
uniprotkb:Q9FHW7	uniprotkb:Q9SKK0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.79
uniprotkb:O49484	uniprotkb:Q9SKK0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:O65674	uniprotkb:Q9SKK0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9M1X5	uniprotkb:Q9SVA3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O81057	uniprotkb:Q9SVA3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q39255	uniprotkb:Q9C9W9	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:Q9FHW7	uniprotkb:Q9C9W9	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.73
uniprotkb:Q9SL93	uniprotkb:Q9C9W9	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O49484	uniprotkb:Q9C9W9	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
